2 2 "123a b" "3123a bpp 123 3ab"
8 10 "asdf" "SDFASFADVASDFsfdafd"
8 10 "asdf" "SDFASFADVASDFsfdafd"
9 9 "asdf" "asdgaerdasdfvaewrfwasdg"
9 9 "asdf" "asdgaerdasdfvaewrfwasdg"
11 6 "asdf" "wasfdasdfadqFDGASDFASDF"
11 16 "asdf" "wasfdasdfadqFDGASDFASDF"
11 20 "asdf" "wasfdasdfadqFDGASDFASDF"
11 6 "asdf" "wasfdasdfadqFDGASDFASDF"
11 16 "asdf" "wasfdasdfadqFDGASDFASDF"
11 20 "asdf" "wasfdasdfadqFDGASDFASDF"
14 17 "sadf" "RSGAERGASEEDqrfvsadfawtrqewafargf2ewdfvasdgqarwer"
16 20 "asdf" "fdgq3ewrddsfasdSADFASDF"
16 20 "asdf" "fdgq3ewrddsfasdSADFASDF"
16 16 "sadf" "fdgq3ewrddsfasdSADFASDF"
18 1 "abcbaabcbabcb" "abcbaabcbabcbbacbcbabcbabcbcbabcbabcbaabcbabcbcbabcbabcbaabcbabcbcbdabcbabcbacbabcbaabcbabcb"
18 34 "abcbaabcbabcb" "abcbaabcbabcbbacbcbabcbabcbcbabcbabcbaabcbabcbcbabcbabcbaabcbabcbcbdabcbabcbacbabcbaabcbabcb"
18 53 "abcbaabcbabcb" "abcbaabcbabcbbacbcbabcbabcbcbabcbabcbaabcbabcbcbabcbabcbaabcbabcbcbdabcbabcbacbabcbaabcbabcb"
18 80 "abcbaabcbabcb" "abcbaabcbabcbbacbcbabcbabcbcbabcbabcbaabcbabcbcbabcbabcbaabcbabcbcbdabcbabcbacbabcbaabcbabcb"
